,repository_name,language
256,JHU-PIV-data,HTML
257,K2CE,Python
258,Kamodo,Jupyter Notebook
259,Kamodo-core,Python
260,Kepler-FLTI,Python
261,kepler-pipeline,C
262,Kepler-PyKE,Python
263,kepler-robovetter,C++
264,KeplerPORTs,Python
265,knife,C
266,Kodiak,C++
267,kombyne,
268,koviz,C++
269,lager,C++
270,LC,C
271,legacy-mars-global-climate-model,Jupyter Notebook
272,lfc,Python
273,lfc-doc,
274,LH2Sim,Matlab
275,LHASA,Python
276,Li-ion-Battery-Prognosis-Based-on-Hybrid-Bayesian-PINN,Python
277,libSPRITE,C++
278,Lightkurve,Python
279,Loupe,Python
280,Low-Surface-Brightness-Extragalactic-Science,
281,LPDAAC-Data-Resources,Jupyter Notebook
282,LSDAO,Makefile
283,maestro,
284,MAV,Limbo
285,MCMCPy,OpenEdge ABL
286,MCT-Plugins,Java
287,MD,C
288,MDE-SDK,
289,meshNetwork,C++
290,meza,JavaScript
291,MFISPy,Python
292,mika,Python
293,MiniWall,JavaScript
294,MINX,Prolog
295,MISR-Toolkit,C
296,MISR-View,IDL
297,mission-viz,HTML
298,Mixed-Reality-Exploration-Toolkit,C#
299,ML-airport-arrival-runway,Python
300,ML-airport-configuration,Python
301,ML-airport-data-services,Python
302,ML-airport-departure-runway,Python
303,ML-airport-estimated-ON,Python
304,ML-airport-taxi-in,Python
305,ML-airport-taxi-out,Python
306,MLMCPy,Python
307,MM,C
308,MMM-Py,Jupyter Notebook
309,mmt,Ruby
310,modisconverter,Python
311,monitoring,Python
312,MOSAIC,Python
313,MPEC,
314,mplStyle,Python
315,MPplugin,
316,MSF-BE,
317,Multi-Process-Proxy,C
318,Multi-Process-Proxy-Client,C
319,Multi-Process-Proxy-Events,C
320,MultiDop,C
321,multihole-probe-calibration,Jupyter Notebook
322,multipath-tcp-tools,C++
323,muscat,MATLAB
324,MXMCPy,Python
325,nasa,
326,NASA-3D-Resources,
327,NASA-Acronyms,JavaScript
328,nasa-data-vis,
329,nasa-interuss,
330,nasa-latex-docs,TeX
331,nasa-soteria-processing-code,
332,NASA-Space-Weather-Media-Viewer,
333,NASAaccess,R
334,nasapress,PHP
335,nasapress-companion,PHP
336,nasawds-old,JavaScript
337,nasawds-site,HTML
338,NASMAT,
339,NASTRAN-93,FORTRAN
340,NASTRAN-95,FORTRAN
341,ncompare,Python
342,NEO,
343,nos3,C
344,NPSS-Power-System-Library,PLSQL
345,OED-with-NN-surrogates,R
346,ogma,Haskell
347,ominas,IDL
348,ominas_maps,
349,OnAIR,Python
350,Open-Gov-Plan-v4,
351,open-science-tools,
352,Open-Source-Catalog,JavaScript
353,openmct,JavaScript
354,openmct-demo,CSS
355,openmct-heatmap,JavaScript
356,openmct-hello,JavaScript
357,openmct-legacy-plugin,JavaScript
358,openmct-map,JavaScript
359,openmct-python-view-generator,
360,openmct-tutorial,JavaScript
361,OpenMDAO-Framework,Python
362,OpenSPIFe,Java
363,OpenVSP,C++
364,OpenVSP3Plugin,Java
365,opera-sds,Python
366,opera-sds-bach-api,Python
367,opera-sds-bach-ui,JavaScript
368,opera-sds-int,Python
369,opera-sds-lambdas,Python
370,opera-sds-ops,Python
371,opera-sds-pcm,Python
372,opera-sds-pge,Jinja
373,opera-sds-sys,Python
374,OpticalConstantDatabase,
375,osal,C
376,OSDR_Data_Curation,
377,OSDR_Tutorials,Python
378,OSS,JavaScript
379,Oversight,Python
380,ow_autonomy,C++
381,ow_enceladus,
382,ow_europa,GLSL
383,ow_simulator,Python
384,PanNDE,C++
385,pato,Roff
386,pbs4py,Python
387,pclam,Python
388,perfutils-java,
389,pigans-material-ID,Python
390,PLEXIL5,Java
391,Plot3D_utilities,Jupyter Notebook
392,podaacpy,Python
393,podaac_tools_and_services,Python
394,PoDS,
395,PointCloudsVR,C++
396,PolyCARP,HTML
397,polyfit,C++
398,Practical-Micromechanics,MATLAB
399,PRECiSA,Haskell
400,pretrained-microscopy-models,Jupyter Notebook
401,PrognosticsAlgorithmLibrary,MATLAB
402,PrognosticsMetricsLibrary,MATLAB
403,PrognosticsModelLibrary,MATLAB
404,progpy,Python
405,prog_algs,
406,prog_models,
407,prog_server,Python
408,PROTEUS,Python
409,PSP,C
410,puma,C++
411,puppies,
412,PVS-ANTLR,Java
413,pvslib,Common Lisp
414,PyAMPR,Jupyter Notebook
415,PyBlock,Jupyter Notebook
416,pyCMR,Python
417,pycomdes-gui,
418,pycomdes-lib,
419,pyDownlinkParser,Python
420,PyGNSS,Jupyter Notebook
421,pymdptoolbox,Python
422,PyMKAD,Python
423,pyrefine,Python
424,PySA,Jupyter Notebook
425,PyTDA,Jupyter Notebook
426,python_cmr,Python
427,pyturbo-aero,Jupyter Notebook
428,QuIP,C
429,radbelt,Python
430,Rapid-Model-Import-Tool,Python
431,rbf,Fortran
432,refine,C
433,reflow,C
434,Reinforcement-Learning-Benchmarking,Shell
435,resample_GLISTIN_DEMs,Python
436,RHEAS,Python
437,Rigid-Geometric-Algebra,MATLAB
438,rjnieves-open-repo,
439,ROSES-Compliance-Checking-Tools,Python
440,rtap,
441,RtRetrievalFramework,C++
442,RtRetrievalFrameworkDoc,Python
443,russ-open-source,
444,RVLib,C++
445,S4P,Perl
446,S4PA,Perl
447,SAFE-DART,C++
448,SALaD,Python
449,sample_app,C
450,sample_lib,C
451,SBN,C
452,SBN-Client,C
453,SC,C
454,SCA,C
455,SCH,C
456,sch_lab,C
457,scifen-solver,C
458,scrub,Python
459,SDN-HDTN,P4
460,Second-Generation-Beacon-Performance-Analysis-Test-Tools,MATLAB
461,SGNDI,
462,shocktube,Python
463,SIL,MATLAB
464,simplegrid,Python
465,simupy-flight,Python
466,SingleDop,Jupyter Notebook
467,SIRS,Jupyter Notebook
468,sitepod,PHP
469,skeleton_app,C
470,SMCPy,Python
471,smd-open-science-guidelines,
472,spaceapps,
473,spaceapps-phenomena_detection,Jupyter Notebook
474,SPoRT-resources,
475,spotthestation,TypeScript
476,spotthestation-backend,Python
477,SROMPy,Python
478,STEAM,Python
479,StereoPipeline,C++
480,stitchee,Python
481,STM-docs,
482,stol-mode,Emacs Lisp
483,Stratway,
484,svrstormsig,Python
485,svs,
486,swSim,C++
487,System_Monitor_for_Radiation_Testing,Python
488,T-MATS,HTML
489,tblCRCTool,C
490,TCML,HTML
491,TechPort,
492,terraform-aws-cumulus-thin-egress-app,HCL
493,test,HTML
494,test-repo,
495,Three-Dimensional-Nozzle-Design-Code,C++
496,TLNS3D,Fortran
497,TOPS,
498,to_lab,C
499,Transform-to-Open-Science,
500,Transform-to-Open-Science-Book,
501,trick,C++
502,TrickFMI,C
503,TrickHLA,C++
504,tricksbn,C
505,tricksbn-demo,C
506,trrac,Jupyter Notebook
507,TSAT,HTML
508,TTECTrA,
509,turbo-design,Jupyter Notebook
510,tvsio,C
511,tvsio-demo,C
512,uam-apis,
513,upsp-processing,C++
514,UQ-Kernel-Mini-App,Python
515,UQPCE,Python
516,USLP,C++
517,utm-apis,
518,utm-docs,Shell
519,UWB-mesh-ranging,C
520,VADER,JavaScript
521,VICAR,
522,VIIRS-demo,
523,VirtualADAPT,Matlab
524,visionworkbench,C++
525,VITALS,Jupyter Notebook
526,vscode-pvs,TypeScript
527,vsm,Python
528,webgs,JavaScript
529,WellClear,HTML
530,WinASSIST,AMPL
531,WinSURE,AMPL
532,World-Wind-Java,C++
533,WRF-Chem_DART,
534,xasgo,Julia
535,XPlaneConnect,C
536,yoga,
537,zarr-accumulation-generation,Python
538,zarr-accumulation-service,
539,zarr-eosdis-store,Jupyter Notebook
540,ziggy,Java
